compactness,k2
0.001,0.3191433662533285
0.004525252525252525,0.30554586733900385
0.008050505050505051,0.29415317733431084
0.011575757575757576,0.28377581275251484
0.015101010101010101,0.2741229313669745
0.018626262626262626,0.2650427917715877
0.02215151515151515,0.2564400278360955
0.025676767676767676,0.24824859270065325
0.0292020202020202,0.24041977878074855
0.03272727272727273,0.2329160104230175
0.03625252525252525,0.22570731621220677
0.03977777777777777,0.21876915962102078
0.0433030303030303,0.21208103479053472
0.04682828282828283,0.2056255118661881
0.05035353535353535,0.19938756491919177
0.05387878787878787,0.1933540853907768
0.0574040404040404,0.18751352007927632
0.06092929292929293,0.18185559595667738
0.06445454545454546,0.17637110747870863
0.06797979797979797,0.17105174908277648
0.0715050505050505,0.16588998161072527
0.07503030303030303,0.16087892435735235
0.07855555555555555,0.15601226682335623
0.08208080808080807,0.1512841958430442
0.0856060606060606,0.1466893348740057
0.08913131313131313,0.14222269295720202
0.09265656565656566,0.13787962150463415
0.09618181818181817,0.1336557774430306
0.0997070707070707,0.12954709158624977
0.10323232323232323,0.1255497413211074
0.10675757575757575,0.12166012689620206
0.11028282828282827,0.11787485073332442
0.1138080808080808,0.11419069928340778
0.11733333333333333,0.11060462705102196
0.12085858585858586,0.10711374246456423
0.12438383838383837,0.10371529533234912
0.12790909090909092,0.10040666566574709
0.13143434343434343,0.09718535368528722
0.13495959595959595,0.09404897085544492
0.1384848484848485,0.09099523181930298
0.142010101010101,0.08802194711900777
0.14553535353535352,0.08512701660953366
0.14906060606060606,0.08230842348354028
0.15258585858585857,0.07956422883652163
0.1561111111111111,0.07689256671302887
0.15963636363636363,0.07429163958000257
0.16316161616161615,0.07175971418256419
0.1666868686868687,0.06929511774163491
0.1702121212121212,0.06689623445866319
0.17373737373737372,0.06456150229656678
0.17726262626262626,0.06228941001008247
0.18078787878787878,0.060078494401270235
0.18431313131313132,0.057927337779153557
0.18783838383838383,0.055834565604815076
0.19136363636363635,0.05379884430491823
0.1948888888888889,0.05181887923909347
0.1984141414141414,0.0498934128075662
0.20193939393939392,0.04802122268733353
0.20546464646464646,0.04620112018607018
0.20898989898989898,0.04443194870420777
0.2125151515151515,0.04271258229651469
0.21604040404040403,0.041041924325469
0.21956565656565655,0.039418906199318544
0.2230909090909091,0.03784248618855702
0.2266161616161616,0.036311648315034285
0.23014141414141412,0.03482540130860818
0.23366666666666666,0.03338277762653772
0.23719191919191918,0.03198283253148937
0.24071717171717172,0.0306246432242606
0.24424242424242423,0.029307308027796068
0.24776767676767675,0.028029945619361497
0.2512929292929293,0.026791694308064155
0.25481818181818183,0.025591711355234553
0.2583434343434343,0.02442917233541722
0.26186868686868686,0.02330327053596935
0.2653939393939394,0.022213216393563544
0.2689191919191919,0.021158236966088734
0.27244444444444443,0.020137575438676905
0.275969696969697,0.019150490662874765
0.27949494949494946,0.018196256728115902
0.283020202020202,0.017274162565009438
0.28654545454545455,0.016383511580143423
0.29007070707070703,0.015523621322424425
0.2935959595959596,0.014693823181275874
0.2971212121212121,0.013893462117360457
0.3006464646464646,0.013121896426926002
0.30417171717171715,0.012378497541301119
0.3076969696969697,0.011662649863664531
0.3112222222222222,0.010973750645873448
0.3147474747474747,0.010311209908957755
0.31827272727272726,0.009674450411918575
0.3217979797979798,0.009062907674775423
0.3253232323232323,0.008476030063429226
0.32884848484848483,0.007913278946047906
0.3323737373737374,0.007374128933479558
0.33589898989898986,0.006858068219788939
0.3394242424242424,0.006364599043936828
0.34294949494949495,0.005893238299927345
0.34647474747474744,0.005443518330923678
0.35,0.005014987951935325
